CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Posicao;Quantidade_Amarelo;Quantidade_Branco;Quantidade_Preto;Quantidade_Pardo;Quantidade_Indigena;Quantidade_Outros;Quantidade_Sem_Resposta
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;Liderança;710;22961;1115;6772;35;0;0
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;Não-liderança;1789;38449;2168;12105;112;0;4
00.000.208/0001-00;2024-12-31;18;148166;BRB BANCO DE BRASILIA S.A.;Liderança;17;393;44;264;1;0;14
00.000.208/0001-00;2024-12-31;18;148166;BRB BANCO DE BRASILIA S.A.;Não-liderança;70;1451;145;916;8;0;53
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Liderança;9;493;26;144;2;0;22
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Não-liderança;79;4251;436;2525;25;0;316
00.070.698/0001-11;2024-12-31;5;146836;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Liderança;0;16;1;13;0;0;0
00.070.698/0001-11;2024-12-31;5;146836;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Não-liderança;1;25;4;22;0;0;0
00.080.671/0001-00;2024-12-31;7;145178;CARAMURU ALIMENTOS S.A.;Liderança;2;146;8;59;1;0;0
00.080.671/0001-00;2024-12-31;7;145178;CARAMURU ALIMENTOS S.A.;Não-liderança;40;943;214;991;3;0;24
00.194.724/0001-13;2024-12-31;5;142922;AUREN OPERAÇÕES S.A.;Liderança;1;88;4;12;0;0;0
00.194.724/0001-13;2024-12-31;5;142922;AUREN OPERAÇÕES S.A.;Não-liderança;10;394;31;122;1;0;4
00.242.184/0001-04;2024-12-31;8;148164;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Liderança;3;169;49;191;0;0;135
00.242.184/0001-04;2024-12-31;8;148164;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Não-liderança;57;1348;617;2639;22;0;671
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Liderança;0;0;0;0;0;0;1
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Não-liderança;0;0;0;0;0;0;1
00.336.701/0001-04;2024-12-31;4;147676;TELEC BRASILEIRAS S.A. TELEBRAS;Liderança;1;31;0;7;0;0;8
00.336.701/0001-04;2024-12-31;4;147676;TELEC BRASILEIRAS S.A. TELEBRAS;Não-liderança;5;169;16;122;0;0;34
00.359.742/0001-08;2024-12-31;4;147979;FICTOR ALIMENTOS S.A.;Liderança;0;4;0;0;0;0;0
00.359.742/0001-08;2024-12-31;4;147979;FICTOR ALIMENTOS S.A.;Não-liderança;0;19;0;0;0;0;0
00.383.281/0001-09;2024-12-31;7;146497;BNDES PARTICIPACOES S.A. - BNDESPAR;Liderança;1;48;1;5;0;0;2
00.383.281/0001-09;2024-12-31;7;146497;BNDES PARTICIPACOES S.A. - BNDESPAR;Não-liderança;0;90;4;18;0;0;3
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Liderança;0;25;4;10;0;0;19
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Não-liderança;2;238;58;129;0;0;20
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Liderança;3;48;1;3;0;0;0
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Não-liderança;5;120;12;40;1;0;0
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;Liderança;0;5;0;0;0;0;0
